nodes,rho,network,beta,lambda,factor,physical_infectivity,hidden_infectivity,aware,infected
100,0.2,barabassi,0.0,0.2,0.01,0.0,0.1,0.8945161290322581,0.20000000000000007
100,0.2,barabassi,0.0,0.3,0.01,0.0,0.1,0.9012903225806453,0.20000000000000007
100,0.2,barabassi,0.0,0.4,0.01,0.0,0.1,0.8903225806451613,0.20000000000000007
100,0.2,barabassi,0.0,0.5,0.01,0.0,0.1,0.8912903225806451,0.20000000000000007
100,0.2,barabassi,0.0,0.6,0.01,0.0,0.1,0.8929032258064517,0.20000000000000007
100,0.2,barabassi,0.0,0.7,0.01,0.0,0.1,0.8977419354838712,0.20000000000000007
100,0.2,barabassi,0.0,0.8,0.01,0.0,0.1,0.8954838709677418,0.20000000000000007
100,0.2,barabassi,0.0,0.9,0.01,0.0,0.1,0.8990322580645163,0.20000000000000007
100,0.2,barabassi,0.0,1.0,0.01,0.0,0.1,0.8980645161290322,0.20000000000000007
100,0.2,barabassi,0.1,0.0,0.01,0.0,0.1,0.9577419354838707,0.5519354838709677
100,0.2,barabassi,0.1,0.1,0.01,0.0,0.1,0.9548387096774192,0.5638709677419355
100,0.2,barabassi,0.1,0.2,0.01,0.0,0.1,0.9551612903225802,0.5864516129032258
100,0.2,barabassi,0.1,0.3,0.01,0.0,0.1,0.9538709677419351,0.5909677419354838
100,0.2,barabassi,0.1,0.4,0.01,0.0,0.1,0.9548387096774192,0.592258064516129
100,0.2,barabassi,0.1,0.5,0.01,0.0,0.1,0.9538709677419351,0.5174193548387097
100,0.2,barabassi,0.1,0.6,0.01,0.0,0.1,0.9583870967741932,0.614838709677419
100,0.2,barabassi,0.1,0.7,0.01,0.0,0.1,0.9516129032258065,0.5603225806451612
100,0.2,barabassi,0.1,0.8,0.01,0.0,0.1,0.9538709677419351,0.6209677419354838
100,0.2,barabassi,0.1,0.9,0.01,0.0,0.1,0.9580645161290323,0.6151612903225804
100,0.2,barabassi,0.1,1.0,0.01,0.0,0.1,0.9432258064516129,0.589032258064516
100,0.2,barabassi,0.2,0.0,0.01,0.0,0.1,0.9690322580645161,0.6374193548387095
100,0.2,barabassi,0.2,0.1,0.01,0.0,0.1,0.9645161290322581,0.6345161290322581
100,0.2,barabassi,0.2,0.2,0.01,0.0,0.1,0.97,0.5645161290322581
100,0.2,barabassi,0.2,0.3,0.01,0.0,0.1,0.9703225806451613,0.6119354838709677
100,0.2,barabassi,0.2,0.4,0.01,0.0,0.1,0.9674193548387098,0.6293548387096772
100,0.2,barabassi,0.2,0.5,0.01,0.0,0.1,0.9641935483870967,0.5932258064516129
100,0.2,barabassi,0.2,0.6,0.01,0.0,0.1,0.9693548387096774,0.638709677419355
100,0.2,barabassi,0.2,0.7,0.01,0.0,0.1,0.9629032258064514,0.666451612903226
100,0.2,barabassi,0.2,0.8,0.01,0.0,0.1,0.9683870967741935,0.54
100,0.2,barabassi,0.2,0.9,0.01,0.0,0.1,0.9629032258064515,0.6938709677419354
100,0.2,barabassi,0.2,1.0,0.01,0.0,0.1,0.9638709677419351,0.6390322580645162
100,0.2,barabassi,0.3,0.0,0.01,0.0,0.1,0.9706451612903225,0.6506451612903222
100,0.2,barabassi,0.3,0.1,0.01,0.0,0.1,0.9719354838709678,0.582258064516129
100,0.2,barabassi,0.3,0.2,0.01,0.0,0.1,0.9703225806451612,0.6703225806451614
100,0.2,barabassi,0.3,0.3,0.01,0.0,0.1,0.9667741935483869,0.5670967741935484
100,0.2,barabassi,0.3,0.4,0.01,0.0,0.1,0.9709677419354837,0.6364516129032259
100,0.2,barabassi,0.3,0.5,0.01,0.0,0.1,0.9706451612903225,0.6851612903225806
100,0.2,barabassi,0.3,0.6,0.01,0.0,0.1,0.967096774193548,0.6732258064516126
100,0.2,barabassi,0.3,0.7,0.01,0.0,0.1,0.9670967741935484,0.6006451612903225
100,0.2,barabassi,0.3,0.8,0.01,0.0,0.1,0.9712903225806452,0.6151612903225808
100,0.2,barabassi,0.3,0.9,0.01,0.0,0.1,0.9696774193548388,0.6387096774193549
100,0.2,barabassi,0.3,1.0,0.01,0.0,0.1,0.9712903225806452,0.5880645161290323
100,0.2,barabassi,0.4,0.0,0.01,0.0,0.1,0.9722580645161291,0.6438709677419356
100,0.2,barabassi,0.4,0.1,0.01,0.0,0.1,0.9722580645161291,0.6351612903225805
100,0.2,barabassi,0.4,0.2,0.01,0.0,0.1,0.9722580645161291,0.6819354838709676
100,0.2,barabassi,0.4,0.3,0.01,0.0,0.1,0.9719354838709678,0.6861290322580647
100,0.2,barabassi,0.4,0.4,0.01,0.0,0.1,0.9719354838709678,0.6222580645161292
100,0.2,barabassi,0.4,0.5,0.01,0.0,0.1,0.9719354838709678,0.6883870967741936
100,0.2,barabassi,0.4,0.6,0.01,0.0,0.1,0.9712903225806452,0.6616129032258061
100,0.2,barabassi,0.4,0.7,0.01,0.0,0.1,0.9722580645161291,0.7190322580645163
100,0.2,barabassi,0.4,0.8,0.01,0.0,0.1,0.9712903225806452,0.6680645161290323
100,0.2,barabassi,0.4,0.9,0.01,0.0,0.1,0.9712903225806452,0.6858064516129034
100,0.2,barabassi,0.4,1.0,0.01,0.0,0.1,0.9651612903225804,0.6290322580645163
100,0.2,barabassi,0.5,0.0,0.01,0.0,0.1,0.9719354838709678,0.7080645161290319
100,0.2,barabassi,0.5,0.1,0.01,0.0,0.1,0.9725806451612903,0.676774193548387
100,0.2,barabassi,0.5,0.2,0.01,0.0,0.1,0.9719354838709678,0.7425806451612904
100,0.2,barabassi,0.5,0.3,0.01,0.0,0.1,0.9719354838709678,0.6706451612903228
100,0.2,barabassi,0.5,0.4,0.01,0.0,0.1,0.970967741935484,0.6800000000000002
100,0.2,barabassi,0.5,0.5,0.01,0.0,0.1,0.9719354838709678,0.6774193548387099
100,0.2,barabassi,0.5,0.6,0.01,0.0,0.1,0.9719354838709678,0.7222580645161292
100,0.2,barabassi,0.5,0.7,0.01,0.0,0.1,0.9719354838709678,0.7261290322580645
100,0.2,barabassi,0.5,0.8,0.01,0.0,0.1,0.9716129032258065,0.6816129032258067
100,0.2,barabassi,0.5,0.9,0.01,0.0,0.1,0.9712903225806452,0.6729032258064515
100,0.2,barabassi,0.5,1.0,0.01,0.0,0.1,0.9719354838709678,0.7251612903225806
100,0.2,barabassi,0.6,0.0,0.01,0.0,0.1,0.9725806451612903,0.7038709677419356
